from;to
Fever;10.1016/j.jbspin.2014.01.001
Favipiravir;10.1038/d41573-020-00016-0
Favipiravir;10.5582/ddt.2020.01012
Cross-species transmission;10.1016/j.coviro.2018.12.007
Cross-species transmission;10.1128/MMBR.00004-08
Bat virome;10.1038/s41586-020-2012-7
Bat virome;10.1128/CMR.00017-06
Bat as food;10.1002/arco.5084
Bat as food;10.1007/978-3-319-25220-9_12
Respiratory droplet;10.1001/jama.2020.4756
Respiratory droplet;10.4415/ANN_13_02_03
Nipah virus infection;10.1038/nrmicro1323
Human uses of bats;10.1002/arco.5084
Human uses of bats;10.1007/978-3-319-25220-9_12
Embecovirus;10.1128/JVI.02182-06
Embecovirus;10.3390/v11020174
Embecovirus;10.3390/v2081803
Merbecovirus;10.1128/JVI.02182-06
Merbecovirus;10.3390/v11020174
Merbecovirus;10.3390/v2081803
Nobecovirus;10.1128/JVI.02182-06
Nobecovirus;10.3390/v11020174
Nobecovirus;10.3390/v2081803
Shi Zhengli;10.1038/nature.2015.18787
Shi Zhengli;10.1038/nm.3985
Shi Zhengli;10.1038/s41422-020-0282-0
Shi Zhengli;10.1038/s41586-020-2012-7
Shi Zhengli;10.1126/science.1118391
Daniel R. Lucey;10.1007/s15010-020-01401-y
Wuhan;10.1016/j.ijid.2020.01.009
Wuhan;10.1787/9789264230040-en
Pulmonary alveolus;10.1038/s41368-020-0074-x
Rhinovirus;10.1016/j.coviro.2012.03.008
China;10.1787/9789264230040-en
China;10.3760/cma.j.issn.0254-6450.2020.02.003
Cytokine;10.1007/s00134-020-05991-x
Cytokine;10.1016/j.biopsych.2009.09.033
Cytokine;10.1016/j.biopsych.2010.06.012
Cytokine;10.1016/S0140-6736(20)30628-0
Acute respiratory distress syndrome;10.1002/14651858.CD003645.pub3
Acute respiratory distress syndrome;10.1007/s00134-009-1661-7
Acute respiratory distress syndrome;10.1097/01.sla.0000141159.90676.2d
Acute respiratory distress syndrome;10.1503/cmaj.140081
Asymptomatic carrier;10.1016/j.jmii.2020.02.012
Asymptomatic carrier;10.3201/eid2206.151080
Contact tracing;10.1126/science.abb6936
COVID-19 apps;10.1109/ICC.2018.8422886
COVID-19 apps;10.1126/science.abb6936
COVID-19 drug development;10.1002/jmv.25707
COVID-19 drug development;10.1016/j.ajem.2020.04.035
COVID-19 drug development;10.1016/j.jcrc.2020.03.005
COVID-19 drug development;10.1016/j.jhealeco.2016.01.012
COVID-19 drug development;10.1016/s0140-6736(20)30798-4
COVID-19 drug development;10.1016/S0140-6736(20)30894-1
COVID-19 drug development;10.1016/S0140-6736(20)31022-9
COVID-19 drug development;10.1038/d41573-020-00016-0
COVID-19 drug development;10.1038/d41573-020-00073-5
COVID-19 drug development;10.1038/d41587-020-00003-1
COVID-19 drug development;10.1038/nature17180
COVID-19 drug development;10.1038/srep43395
COVID-19 drug development;10.1056/nejmp2003762
COVID-19 drug development;10.1080/21645515.2020.1735227
COVID-19 drug development;10.1093/cid/ciaa237
COVID-19 drug development;10.1093/ofid/ofaa105
COVID-19 drug development;10.1126/science.abb3405
COVID-19 drug development;10.1126/science.abb8497
COVID-19 drug development;10.1186/s12916-018-1017-7
COVID-19 drug development;10.12688/wellcomeopenres.15821.1
COVID-19 drug development;10.1503/cmaj.200438
COVID-19 drug development;10.5582/ddt.2020.01012
COVID-19 drug repurposing research;10.1001/jama.2020.6019
COVID-19 drug repurposing research;10.1016/j.antiviral.2020.104787
COVID-19 drug repurposing research;10.1016/j.ijantimicag.2020.105949
COVID-19 drug repurposing research;10.1016/j.ijid.2020.02.018
COVID-19 drug repurposing research;10.1038/d41573-020-00016-0
COVID-19 drug repurposing research;10.1038/d41587-020-00003-1
COVID-19 drug repurposing research;10.1038/nature17180
COVID-19 drug repurposing research;10.1038/s41422-020-0282-0
COVID-19 drug repurposing research;10.1038/srep43395
COVID-19 drug repurposing research;10.1056/NEJMoa2001282
COVID-19 drug repurposing research;10.1093/ofid/ofaa105
COVID-19 drug repurposing research;10.5582/ddt.2020.01012
COVID-19 pandemic in Italy;10.1016/j.jmii.2020.03.013
COVID-19 pandemic in Italy;10.1056/NEJMc2001468
COVID-19 pandemic in Italy;10.25561/77731
COVID-19 pandemic in mainland China;10.1016/S0140-6736(20)30183-5
COVID-19 pandemic in mainland China;10.1038/s41586-020-2012-7
COVID-19 pandemic in mainland China;10.1056/NEJMc2001468
COVID-19 pandemic in mainland China;10.1056/NEJMoa2001316
COVID-19 pandemic in mainland China;10.1097/01.inf.0000188166.17324.60
COVID-19 pandemic in North America;10.1056/NEJMoa2001191
COVID-19 pandemic on USS Theodore Roosevelt;10.1093/jtm/taaa030
COVID-19 pandemic on USS Theodore Roosevelt;10.1093/jtm/taaa030/5766334
Face masks during the COVID-19 pandemic;10.1016/S2213-2600(20)30134-X
Face masks during the COVID-19 pandemic;10.1093/cid/ciaa149
Face masks during the COVID-19 pandemic;10.1136/bmj.h694
Face masks during the COVID-19 pandemic;10.1136/bmj.m1435
Face masks during the COVID-19 pandemic;10.17226/11637
Face masks during the COVID-19 pandemic;10.3396/IJIC.v9i3.020.13
Herd immunity;10.1056/NEJMoa2001316
Herd immunity;10.1086/425271
Herd immunity;10.1093/aje/kwh255
Herd immunity;10.1093/cid/cir007
Herd immunity;10.2807/1560-7917.ES.2020.25.4.2000058
Huanan Seafood Wholesale Market;10.1016/j.ijid.2020.01.009
Huanan Seafood Wholesale Market;10.1016/S0140-6736(20)30183-5
Huanan Seafood Wholesale Market;10.1016/S0140-6736(20)30211-7
Huanan Seafood Wholesale Market;10.1056/NEJMoa2001017
Huanan Seafood Wholesale Market;10.1101/2020.02.07.939207
Huanan Seafood Wholesale Market;10.1101/2020.02.17.951335
Huanan Seafood Wholesale Market;10.1128/CMR.00023-07
Li Wenliang;10.1016/S0140-6736(20)30382-2
Mortality due to COVID-19;10.1001/jama.2020.1585
Mortality due to COVID-19;10.1007/s00134-020-05991-x
Mortality due to COVID-19;10.1016/S0140-6736(20)30211-7
Mortality due to COVID-19;10.1016/S0140-6736(20)30526-2
Mortality due to COVID-19;10.1016/s1473-3099(20)30243-7
Mortality due to COVID-19;10.1016/S2214-109X(20)30110-8
Mortality due to COVID-19;10.1056/NEJMp2005492
Mortality due to COVID-19;10.15585/mmwr.mm6912e2
National responses to the COVID-19 pandemic;10.1126/science.abb0611
Remdesivir;10.1016/j.ajem.2020.04.035
Remdesivir;10.1016/S0140-6736(20)31022-9
Remdesivir;10.1038/nature17180
Remdesivir;10.1038/srep43395
Remdesivir;10.1177/1098612X19825701
Solidarity trial;10.1016/S0140-6736(20)30894-1
Solidarity trial;10.1186/s12916-018-1017-7
Anders Tegnell;10.1038/d41586-020-01098-x
Timeline of the COVID-19 pandemic in 2019;10.1016/S0140-6736(20)30183-5
Timeline of the COVID-19 pandemic in 2019;10.1056/NEJMoa2001316
Timeline of the COVID-19 pandemic in 2019;10.2807/1560-7917.ES.2020.25.4.2000058
Timeline of the COVID-19 pandemic in January 2020;10.1016/j.ijid.2020.01.009
Timeline of the COVID-19 pandemic in January 2020;10.1016/S0140-6736(20)30154-9
Timeline of the COVID-19 pandemic in January 2020;10.1016/S0140-6736(20)30183-5
Timeline of the COVID-19 pandemic in January 2020;10.1016/S0140-6736(20)30185-9
Timeline of the COVID-19 pandemic in January 2020;10.1016/S0140-6736(20)30260-9
Timeline of the COVID-19 pandemic in January 2020;10.1016/S0140-6736(20)30382-2
Timeline of the COVID-19 pandemic in January 2020;10.1038/s41586-020-2012-7
Timeline of the COVID-19 pandemic in January 2020;10.1056/NEJMc2001272
Timeline of the COVID-19 pandemic in January 2020;10.1056/NEJMc2001468
Timeline of the COVID-19 pandemic in January 2020;10.1126/science.aba9757
Wet market;10.1128/CMR.00023-07
3C-like protease;10.1126/science.abb3405
Airborne transmission;10.3201/eid1211.060255
Airborne transmission;10.4415/ANN_13_02_03
Case fatality rate;10.3201/eid1201.050979
Compartmental models in epidemiology;10.1098/rspa.1927.0118
Coronaviridae;10.1038/s41564-020-0695-z
Coronaviridae;10.3390/v11030210
COVID-19 in pregnancy;10.1016/S0140-6736(20)30311-1
COVID-19 in pregnancy;10.1056/NEJMc2009316
COVID-19 in pregnancy;10.2214/AJR.20.23034
COVID-19 pandemic in Belgium;10.1007/s00134-012-2627-8
COVID-19 pandemic in Belgium;10.1038/d41586-020-00548-w
COVID-19 pandemic in France;10.2807/1560-7917.ES.2020.25.9.2000178
COVID-19 pandemic in Hubei;10.1016/S0140-6736(20)30183-5
COVID-19 pandemic in South Korea;10.1126/science.abb7566
COVID-19 pandemic in Spain;10.1016/j.jmii.2020.03.013
COVID-19 pandemic in Spain;10.25561/77731
COVID-19 pandemic in Sweden;10.1007/s00134-012-2627-8
COVID-19 pandemic in Sweden;10.1038/d41586-020-01098-x
COVID-19 pandemic in Switzerland;10.1016/j.jmii.2020.03.013
COVID-19 pandemic in the Czech Republic;10.1126/science.abb7566
COVID-19 pandemic in the Czech Republic;10.1186/1471-2458-12-679
COVID-19 pandemic in the Republic of Ireland;10.1038/d41586-020-00548-w
COVID-19 pandemic in the United Kingdom;10.1016/S0140-6736(20)30463-3
COVID-19 pandemic in the United Kingdom;10.1136/bmj.m550
COVID-19 pandemic in the United Kingdom;10.2807/1560-7917.ES.2020.25.9.2000178
COVID-19 pandemic in the United States;10.1056/NEJMoa2001191
COVID-19 pandemic in the United States;10.1371/journal.pone.0002185
Digital contact tracing;10.1109/ICC.2018.8422886
Digital contact tracing;10.1126/science.abb6936
Extracorporeal membrane oxygenation;10.1007/s00134-009-1661-7
Extracorporeal membrane oxygenation;10.1097/01.sla.0000141159.90676.2d
Hydroxychloroquine;10.1016/j.ijantimicag.2020.105949
Hydroxychloroquine;10.1016/j.jcrc.2020.03.005
Hydroxychloroquine;10.1016/j.jemermed.2004.12.011
Hydroxychloroquine;10.1097/MEJ.0b013e3280adcb56
Imperial College COVID-19 Response Team;10.1038/d41586-020-01003-6
List of incidents of xenophobia and racism related to the COVID-19 pandemic;10.1038/d41586-020-01009-0
Lopinavir/ritonavir;10.1056/NEJMoa2001282
Lopinavir/ritonavir;10.1093/ofid/ofaa105
Mathematical modelling of infectious disease;10.1098/rspa.1927.0118
Pandemic Severity Assessment Framework;10.15585/mmwr.rr6601a1
Proning;10.1002/14651858.CD003645.pub3
Proning;10.1007/s00134-020-06022-5
Proning;10.1503/cmaj.140081
Severe acute respiratory syndrome;10.1016/j.jviromet.2005.03.021
Severe acute respiratory syndrome;10.1086/427242
Severe acute respiratory syndrome;10.1086/500143
Severe acute respiratory syndrome;10.1126/science.1118391
Severe acute respiratory syndrome;10.2217/fvl.12.126
Shortages related to the COVID-19 pandemic;10.1007/s00134-012-2627-8
Shortages related to the COVID-19 pandemic;10.1056/NEJMp2005492
Wuhan Institute of Virology;10.1038/nature.2015.18787
Wuhan Institute of Virology;10.1038/nature.2017.21487
Wuhan Institute of Virology;10.1038/s41422-020-0282-0
Wuhan Institute of Virology;10.1038/s41586-020-2012-7
Wuhan Institute of Virology;10.1126/science.1118391
Wuhan Institute of Virology;10.1371/journal.ppat.1006698
Coronavirus disease 2019;10.1001/jama.2020.1585
Coronavirus disease 2019;10.1001/jama.2020.3633
Coronavirus disease 2019;10.1001/jama.2020.4756
Coronavirus disease 2019;10.1001/jama.2020.6019
Coronavirus disease 2019;10.1002/jmv.25707
Coronavirus disease 2019;10.1002/path.1570
Coronavirus disease 2019;10.1007/s00134-020-05991-x
Coronavirus disease 2019;10.1007/s15010-020-01401-y
Coronavirus disease 2019;10.1016/j.ijid.2020.01.009
Coronavirus disease 2019;10.1016/j.jmii.2020.02.012
Coronavirus disease 2019;10.1016/S0140-6736(20)30154-9
Coronavirus disease 2019;10.1016/S0140-6736(20)30183-5
Coronavirus disease 2019;10.1016/S0140-6736(20)30185-9
Coronavirus disease 2019;10.1016/S0140-6736(20)30211-7
Coronavirus disease 2019;10.1016/S0140-6736(20)30311-1
Coronavirus disease 2019;10.1016/S0140-6736(20)30526-2
Coronavirus disease 2019;10.1016/S0140-6736(20)30567-5
Coronavirus disease 2019;10.1016/S0140-6736(20)30628-0
Coronavirus disease 2019;10.1016/s0140-6736(20)30798-4
Coronavirus disease 2019;10.1016/s1473-3099(20)30243-7
Coronavirus disease 2019;10.1016/S2213-2600(20)30134-X
Coronavirus disease 2019;10.1016/S2214-109X(20)30110-8
Coronavirus disease 2019;10.1038/d41573-020-00016-0
Coronavirus disease 2019;10.1038/d41586-020-00548-w
Coronavirus disease 2019;10.1038/d41586-020-01009-0
Coronavirus disease 2019;10.1038/s41368-020-0074-x
Coronavirus disease 2019;10.1038/s41422-020-0282-0
Coronavirus disease 2019;10.1038/s41564-020-0688-y
Coronavirus disease 2019;10.1038/s41591-020-0820-9
Coronavirus disease 2019;10.1056/NEJMc2004973
Coronavirus disease 2019;10.1056/NEJMoa2001017
Coronavirus disease 2019;10.1056/NEJMoa2001282
Coronavirus disease 2019;10.1073/pnas.2005456117
Coronavirus disease 2019;10.1080/21645515.2020.1735227
Coronavirus disease 2019;10.1093/ajcp/aqaa062
Coronavirus disease 2019;10.1093/cid/ciaa149
Coronavirus disease 2019;10.1093/cid/ciaa237
Coronavirus disease 2019;10.1111/tmi.13383
Coronavirus disease 2019;10.1126/science.abb0611
Coronavirus disease 2019;10.1126/science.abb7015
Coronavirus disease 2019;10.1126/science.abb8497
Coronavirus disease 2019;10.1136/bmj.m1202
Coronavirus disease 2019;10.1172/JCI138003
Coronavirus disease 2019;10.12688/wellcomeopenres.15821.1
Coronavirus disease 2019;10.1371/journal.pone.0002185
Coronavirus disease 2019;10.15585/mmwr.mm6912e2
Coronavirus disease 2019;10.2214/AJR.20.23034
Coronavirus disease 2019;10.25561/77482
Coronavirus disease 2019;10.3760/cma.j.issn.0254-6450.2020.02.003
COVID-19 pandemic;10.1016/j.cub.2020.03.022
COVID-19 pandemic;10.1016/j.jaut.2020.102433
COVID-19 pandemic;10.1016/j.jmii.2020.03.013
COVID-19 pandemic;10.1016/S0140-6736(20)30154-9
COVID-19 pandemic;10.1016/S0140-6736(20)30183-5
COVID-19 pandemic;10.1016/S0140-6736(20)30185-9
COVID-19 pandemic;10.1016/S0140-6736(20)30567-5
COVID-19 pandemic;10.1016/S2214-109X(20)30110-8
COVID-19 pandemic;10.1038/d41586-020-00548-w
COVID-19 pandemic;10.1038/s41591-020-0820-9
COVID-19 pandemic;10.1056/NEJMc2009316
COVID-19 pandemic;10.1056/NEJMe2001126
COVID-19 pandemic;10.1056/NEJMoa2001191
COVID-19 pandemic;10.1056/NEJMoa2001316
COVID-19 pandemic;10.1093/cid/ciaa149
COVID-19 pandemic;10.1093/ofid/ofaa105
COVID-19 pandemic;10.1111/tmi.13383
COVID-19 pandemic;10.1126/science.abb0611
COVID-19 pandemic;10.1126/science.abb3221
COVID-19 pandemic;10.1126/science.abb7566
COVID-19 pandemic;10.1136/bmj.m1202
COVID-19 pandemic;10.1136/bmj.m1435
COVID-19 pandemic;10.15585/mmwr.rr6601a1
COVID-19 pandemic;10.3201/eid2607.200092
COVID-19 pandemic;10.3201/eid2607.200282
COVID-19 pandemic;10.3760/cma.j.issn.0254-6450.2020.02.003
COVID-19 pandemic by country and territory;10.1038/d41586-020-00885-w
COVID-19 pandemic by country and territory;10.3201/eid2607.200092
COVID-19 vaccine;10.1016/j.jhealeco.2016.01.012
COVID-19 vaccine;10.1016/j.jviromet.2005.03.021
COVID-19 vaccine;10.1016/S2214-109X(18)30346-2
COVID-19 vaccine;10.1038/d41573-020-00073-5
COVID-19 vaccine;10.1056/nejmp2003762
COVID-19 vaccine;10.1086/427242
COVID-19 vaccine;10.1086/500143
COVID-19 vaccine;10.1503/cmaj.200438
COVID-19 vaccine;10.2217/fvl.12.126
Misinformation related to the COVID-19 pandemic;10.1038/d41586-020-00885-w
Misinformation related to the COVID-19 pandemic;10.1038/nature.2017.21487
Misinformation related to the COVID-19 pandemic;10.1038/s41591-020-0820-9
Severe acute respiratory syndrome coronavirus 2;10.1007/s11427-020-1637-5
Severe acute respiratory syndrome coronavirus 2;10.1016/j.antiviral.2020.104742
Severe acute respiratory syndrome coronavirus 2;10.1016/j.cell.2020.02.052
Severe acute respiratory syndrome coronavirus 2;10.1016/j.cub.2020.03.022
Severe acute respiratory syndrome coronavirus 2;10.1016/S0140-6736(20)30154-9
Severe acute respiratory syndrome coronavirus 2;10.1016/S0140-6736(20)30183-5
Severe acute respiratory syndrome coronavirus 2;10.1016/S0140-6736(20)30211-7
Severe acute respiratory syndrome coronavirus 2;10.1016/S0140-6736(20)30260-9
Severe acute respiratory syndrome coronavirus 2;10.1038/d41586-020-00364-2
Severe acute respiratory syndrome coronavirus 2;10.1038/d41586-020-00548-w
Severe acute respiratory syndrome coronavirus 2;10.1038/s41564-020-0688-y
Severe acute respiratory syndrome coronavirus 2;10.1038/s41564-020-0695-z
Severe acute respiratory syndrome coronavirus 2;10.1038/s41586-020-2012-7
Severe acute respiratory syndrome coronavirus 2;10.1038/s41591-020-0820-9
Severe acute respiratory syndrome coronavirus 2;10.1056/NEJMc2004973
Severe acute respiratory syndrome coronavirus 2;10.1056/NEJMe2001126
Severe acute respiratory syndrome coronavirus 2;10.1056/NEJMoa2001017
Severe acute respiratory syndrome coronavirus 2;10.1056/NEJMoa2001191
Severe acute respiratory syndrome coronavirus 2;10.1056/NEJMoa2001316
Severe acute respiratory syndrome coronavirus 2;10.1093/jtm/taaa030
Severe acute respiratory syndrome coronavirus 2;10.1101/2020.02.07.939207
Severe acute respiratory syndrome coronavirus 2;10.1101/2020.02.17.951335
Severe acute respiratory syndrome coronavirus 2;10.1126/science.abb0611
Severe acute respiratory syndrome coronavirus 2;10.1126/science.abb3221
Severe acute respiratory syndrome coronavirus 2;10.2807/1560-7917.ES.2020.25.4.2000058
Severe acute respiratory syndrome coronavirus 2;10.3390/v11020174
Severe acute respiratory syndrome coronavirus 2;10.3390/v11110979
Jerome Adams;10.1016/S0140-6736(20)30183-5
Bat SARS-like coronavirus WIV1;10.1038/nature12711
Broad-spectrum antiviral drug;10.1016/j.ijid.2020.02.018
Cloth face mask;10.1136/bmj.h694
Cloth face mask;10.17226/11637
Cloth face mask;10.3396/IJIC.v9i3.020.13
Coalition for Epidemic Preparedness Innovations;10.1016/S2214-109X(18)30346-2
Colchicine;10.1016/j.jbspin.2014.01.001
Coronavirus diseases;10.1007/978-1-4939-2438-7_1
Coronavirus diseases;10.1016/bs.aivir.2018.01.001
COVID-19 pandemic in Arizona;10.1126/science.abb0611
COVID-19 pandemic in England;10.1016/S0140-6736(20)30463-3
COVID-19 pandemic in England;10.1136/bmj.m550
COVID-19 pandemic in Guernsey;10.1016/j.jmii.2020.03.013
COVID-19 pandemic in Guernsey;10.1016/S0140-6736(20)30567-5
COVID-19 pandemic in Guernsey;10.1056/NEJMoa2001191
COVID-19 pandemic in Jersey;10.1016/j.jmii.2020.03.013
COVID-19 pandemic in Nepal;10.1111/tmi.13383
COVID-19 pandemic in South Asia;10.1016/j.jaut.2020.102433
COVID-19 pandemic in Vietnam;10.1056/NEJMc2001272
COVID-19 pandemic in Washington (state);10.1056/NEJMoa2001191
COVID-19 pandemic on Diamond Princess;10.1093/jtm/taaa030
COVID-19 pandemic on Diamond Princess;10.1093/jtm/taaa030/5766334
Inovio Pharmaceuticals;10.1038/d41573-020-00073-5
Gendered impact of the COVID-19 pandemic;10.1016/S0140-6736(20)30211-7
Gendered impact of the COVID-19 pandemic;10.1016/S0140-6736(20)30526-2
Gendered impact of the COVID-19 pandemic;10.3760/cma.j.issn.0254-6450.2020.02.003
Impact of the COVID-19 pandemic on long-term care facilities;10.1056/NEJMoa2005412
Neil Ferguson (epidemiologist);10.1016/S1473-3099(09)70176-8
Neil Ferguson (epidemiologist);10.1038/515192a
Neil Ferguson (epidemiologist);10.1038/d41586-020-01003-6
Neil Ferguson (epidemiologist);10.25561/77482
Bonnie Henry;10.1056/NEJMoa030634
Bonnie Henry;10.3201/eid1002.030838
Impact of the COVID-19 pandemic on education;10.1016/S1473-3099(09)70176-8
Impact of the COVID-19 pandemic on education;10.1177/003335491012500612
Impact of the COVID-19 pandemic on education;10.2307/4590751
Ivermectin;10.1016/j.antiviral.2020.104787
Life Care Centers of America;10.1056/NEJMoa2005412
Allison McGeer;10.1056/NEJMoa030634
Allison McGeer;10.3201/eid1002.030838
Timeline of the COVID-19 pandemic in the United States;10.1056/NEJMoa2001191
Travel restrictions related to the COVID-19 pandemic;10.1126/science.aba9757
White House Coronavirus Task Force;10.1056/NEJMoa2001191
Chris Whitty;10.1038/515192a
Pneumonia of unknown etiology (PUE) surveillance system;10.1056/NEJMoa2001316
SHC014-CoV;10.1038/nature.2015.18787
SHC014-CoV;10.1038/nature12711
SHC014-CoV;10.1038/nm.3985
Social distancing measures related to the COVID-19 pandemic;10.1056/NEJMp2002125
Social distancing measures related to the COVID-19 pandemic;10.1097/INF.0000000000002660
